Province,Year,Month,Tourism_Type,Income(Million Baht),Tourism_Amount,Province_EN
กาญจนบุรี,2023,10,ไทย,"2,470.43","1,079,248",Kanchanaburi
กาญจนบุรี,2023,10,ต่างชาติ,126.33,"31,104",Kanchanaburi
กาญจนบุรี,2023,11,ไทย,"2,565.05","1,120,585",Kanchanaburi
กาญจนบุรี,2023,11,ต่างชาติ,138.91,"34,203",Kanchanaburi
กาญจนบุรี,2023,12,ไทย,"2,901.79","1,267,688",Kanchanaburi
กาญจนบุรี,2023,12,ต่างชาติ,147.18,"36,240",Kanchanaburi
นครปฐม,2023,1,ไทย,416.94,"272,839",Nakhon Pathom
นครปฐม,2023,1,ต่างชาติ,9.06,"3,920",Nakhon Pathom
นครปฐม,2023,2,ไทย,385.47,"252,246",Nakhon Pathom
นครปฐม,2023,2,ต่างชาติ,7.54,"3,260",Nakhon Pathom
นครปฐม,2023,3,ไทย,402.16,"263,170",Nakhon Pathom
นครปฐม,2023,3,ต่างชาติ,12.46,"5,384",Nakhon Pathom
นครปฐม,2023,4,ไทย,423.56,"279,388",Nakhon Pathom
นครปฐม,2023,4,ต่างชาติ,15.14,"6,400",Nakhon Pathom
นครปฐม,2023,5,ไทย,415.90,"274,337",Nakhon Pathom
นครปฐม,2023,5,ต่างชาติ,11.01,"4,656",Nakhon Pathom
นครปฐม,2023,6,ไทย,434.26,"286,446",Nakhon Pathom
นครปฐม,2023,6,ต่างชาติ,15.14,"6,404",Nakhon Pathom
นครปฐม,2023,7,ไทย,470.90,"323,527",Nakhon Pathom
นครปฐม,2023,7,ต่างชาติ,12.38,"6,168",Nakhon Pathom
นครปฐม,2023,8,ไทย,556.43,"382,289",Nakhon Pathom
นครปฐม,2023,8,ต่างชาติ,12.75,"6,355",Nakhon Pathom
นครปฐม,2023,9,ไทย,495.38,"340,350",Nakhon Pathom
นครปฐม,2023,9,ต่างชาติ,13.06,"6,510",Nakhon Pathom
นครปฐม,2023,10,ไทย,610.23,"361,328",Nakhon Pathom
นครปฐม,2023,10,ต่างชาติ,13.14,"4,850",Nakhon Pathom
นครปฐม,2023,11,ไทย,650.60,"385,227",Nakhon Pathom
นครปฐม,2023,11,ต่างชาติ,12.67,"4,676",Nakhon Pathom
นครปฐม,2023,12,ไทย,677.00,"400,869",Nakhon Pathom
นครปฐม,2023,12,ต่างชาติ,14.22,"5,247",Nakhon Pathom
ประจวบคีรีขันธ์,2023,1,ไทย,"3,471.16","1,052,215",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,1,ต่างชาติ,381.39,"38,431",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,2,ไทย,"3,056.27","926,449",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,2,ต่างชาติ,469.85,"47,345",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,3,ไทย,"3,051.44","924,984",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,3,ต่างชาติ,444.78,"44,819",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,4,ไทย,"3,650.88","977,438",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,4,ต่างชาติ,464.42,"43,152",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,5,ไทย,"3,130.39","838,087",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,5,ต่างชาติ,430.87,"40,034",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,6,ไทย,"2,949.04","789,529",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,6,ต่างชาติ,456.17,"42,384",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,7,ไทย,"3,057.32","830,971",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,7,ต่างชาติ,565.30,"54,018",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,8,ไทย,"2,981.46","810,353",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,8,ต่างชาติ,487.24,"46,559",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,9,ไทย,"2,695.08","732,523",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,9,ต่างชาติ,445.73,"42,591",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,10,ไทย,"3,515.73","829,021",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,10,ต่างชาติ,506.85,"46,039",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,11,ไทย,"3,867.19","911,897",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,11,ต่างชาติ,570.66,"51,835",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,12,ไทย,"4,396.89","1,036,801",Prachuap Khiri Khan
ประจวบคีรีขันธ์,2023,12,ต่างชาติ,652.62,"59,281",Prachuap Khiri Khan
เพชรบุรี,2023,1,ไทย,"2,532.55","936,874",Phetchaburi
เพชรบุรี,2023,1,ต่างชาติ,57.79,"11,776",Phetchaburi
เพชรบุรี,2023,2,ไทย,"2,130.69","788,212",Phetchaburi
เพชรบุรี,2023,2,ต่างชาติ,65.72,"13,392",Phetchaburi
เพชรบุรี,2023,3,ไทย,"2,595.60","960,188",Phetchaburi
เพชรบุรี,2023,3,ต่างชาติ,58.99,"12,020",Phetchaburi
เพชรบุรี,2023,4,ไทย,"2,697.78","965,410",Phetchaburi
เพชรบุรี,2023,4,ต่างชาติ,136.77,"13,149",Phetchaburi
เพชรบุรี,2023,5,ไทย,"2,457.77","879,520",Phetchaburi
เพชรบุรี,2023,5,ต่างชาติ,129.68,"12,469",Phetchaburi
เพชรบุรี,2023,6,ไทย,"2,287.25","818,499",Phetchaburi
เพชรบุรี,2023,6,ต่างชาติ,123.50,"11,874",Phetchaburi
เพชรบุรี,2023,7,ไทย,"2,650.18","805,461",Phetchaburi
เพชรบุรี,2023,7,ต่างชาติ,154.10,"18,889",Phetchaburi
เพชรบุรี,2023,8,ไทย,"2,597.46","789,438",Phetchaburi
เพชรบุรี,2023,8,ต่างชาติ,164.25,"20,132",Phetchaburi
เพชรบุรี,2023,9,ไทย,"2,475.78","752,449",Phetchaburi
เพชรบุรี,2023,9,ต่างชาติ,145.85,"17,876",Phetchaburi
เพชรบุรี,2023,10,ไทย,"2,688.94","830,925",Phetchaburi
เพชรบุรี,2023,10,ต่างชาติ,145.60,"17,613",Phetchaburi
เพชรบุรี,2023,11,ไทย,"2,908.28","898,703",Phetchaburi
เพชรบุรี,2023,11,ต่างชาติ,161.32,"19,514",Phetchaburi
เพชรบุรี,2023,12,ไทย,"3,161.44","976,933",Phetchaburi
เพชรบุรี,2023,12,ต่างชาติ,191.36,"23,149",Phetchaburi
ราชบุรี,2023,1,ไทย,375.07,"211,674",Ratchaburi
ราชบุรี,2023,1,ต่างชาติ,23.04,"11,320",Ratchaburi
ราชบุรี,2023,2,ไทย,280.40,"158,248",Ratchaburi
ราชบุรี,2023,2,ต่างชาติ,18.64,"9,161",Ratchaburi
ราชบุรี,2023,3,ไทย,284.80,"160,737",Ratchaburi
ราชบุรี,2023,3,ต่างชาติ,28.88,"14,193",Ratchaburi
ราชบุรี,2023,4,ไทย,359.73,"195,234",Ratchaburi
ราชบุรี,2023,4,ต่างชาติ,21.93,"9,452",Ratchaburi
ราชบุรี,2023,5,ไทย,347.32,"188,495",Ratchaburi
ราชบุรี,2023,5,ต่างชาติ,18.18,"7,837",Ratchaburi
ราชบุรี,2023,6,ไทย,340.13,"184,591",Ratchaburi
ราชบุรี,2023,6,ต่างชาติ,31.14,"13,424",Ratchaburi
ราชบุรี,2023,7,ไทย,344.66,"185,081",Ratchaburi
ราชบุรี,2023,7,ต่างชาติ,29.60,"11,452",Ratchaburi
ราชบุรี,2023,8,ไทย,362.85,"194,849",Ratchaburi
ราชบุรี,2023,8,ต่างชาติ,23.06,"8,921",Ratchaburi
ราชบุรี,2023,9,ไทย,340.81,"183,009",Ratchaburi
ราชบุรี,2023,9,ต่างชาติ,24.80,"9,595",Ratchaburi
ราชบุรี,2023,10,ไทย,387.10,"199,298",Ratchaburi
ราชบุรี,2023,10,ต่างชาติ,18.81,"6,938",Ratchaburi
ราชบุรี,2023,11,ไทย,403.84,"207,917",Ratchaburi
ราชบุรี,2023,11,ต่างชาติ,20.78,"7,665",Ratchaburi
ราชบุรี,2023,12,ไทย,430.86,"221,824",Ratchaburi
ราชบุรี,2023,12,ต่างชาติ,21.68,"7,989",Ratchaburi
สมุทรปราการ,2023,1,ไทย,350.13,"222,257",Samut Prakan
สมุทรปราการ,2023,1,ต่างชาติ,217.45,"70,894",Samut Prakan
สมุทรปราการ,2023,2,ไทย,299.87,"190,352",Samut Prakan
สมุทรปราการ,2023,2,ต่างชาติ,198.89,"64,842",Samut Prakan
สมุทรปราการ,2023,3,ไทย,335.25,"212,812",Samut Prakan
สมุทรปราการ,2023,3,ต่างชาติ,224.16,"73,085",Samut Prakan
สมุทรปราการ,2023,4,ไทย,396.12,"236,219",Samut Prakan
สมุทรปราการ,2023,4,ต่างชาติ,215.54,"75,598",Samut Prakan
สมุทรปราการ,2023,5,ไทย,407.65,"243,098",Samut Prakan
สมุทรปราการ,2023,5,ต่างชาติ,203.79,"71,476",Samut Prakan
สมุทรปราการ,2023,6,ไทย,374.19,"223,143",Samut Prakan
สมุทรปราการ,2023,6,ต่างชาติ,212.75,"74,621",Samut Prakan
สมุทรปราการ,2023,7,ไทย,333.56,"187,216",Samut Prakan
สมุทรปราการ,2023,7,ต่างชาติ,252.25,"80,114",Samut Prakan
สมุทรปราการ,2023,8,ไทย,379.33,"212,904",Samut Prakan
สมุทรปราการ,2023,8,ต่างชาติ,223.39,"70,948",Samut Prakan
สมุทรปราการ,2023,9,ไทย,362.93,"203,693",Samut Prakan
สมุทรปราการ,2023,9,ต่างชาติ,197.27,"62,650",Samut Prakan
สมุทรปราการ,2023,10,ไทย,418.45,"230,306",Samut Prakan
สมุทรปราการ,2023,10,ต่างชาติ,211.33,"60,189",Samut Prakan
สมุทรปราการ,2023,11,ไทย,412.13,"226,825",Samut Prakan
สมุทรปราการ,2023,11,ต่างชาติ,218.46,"62,217",Samut Prakan
สมุทรปราการ,2023,12,ไทย,446.14,"245,559",Samut Prakan
สมุทรปราการ,2023,12,ต่างชาติ,226.41,"64,490",Samut Prakan
สมุทรสงคราม,2023,1,ไทย,655.47,"598,645",Samut Songkhram
สมุทรสงคราม,2023,1,ต่างชาติ,17.89,"11,253",Samut Songkhram
สมุทรสงคราม,2023,2,ไทย,552.00,"504,144",Samut Songkhram
สมุทรสงคราม,2023,2,ต่างชาติ,21.48,"13,508",Samut Songkhram
สมุทรสงคราม,2023,3,ไทย,541.38,"494,448",Samut Songkhram
สมุทรสงคราม,2023,3,ต่างชาติ,22.54,"14,169",Samut Songkhram
สมุทรสงคราม,2023,4,ไทย,656.57,"540,395",Samut Songkhram
สมุทรสงคราม,2023,4,ต่างชาติ,28.06,"15,911",Samut Songkhram
สมุทรสงคราม,2023,5,ไทย,673.44,"554,285",Samut Songkhram
สมุทรสงคราม,2023,5,ต่างชาติ,23.87,"13,533",Samut Songkhram
สมุทรสงคราม,2023,6,ไทย,641.57,"528,061",Samut Songkhram
สมุทรสงคราม,2023,6,ต่างชาติ,23.57,"13,379",Samut Songkhram
สมุทรสงคราม,2023,7,ไทย,543.42,"390,798",Samut Songkhram
สมุทรสงคราม,2023,7,ต่างชาติ,21.21,"13,481",Samut Songkhram
สมุทรสงคราม,2023,8,ไทย,531.76,"382,415",Samut Songkhram
สมุทรสงคราม,2023,8,ต่างชาติ,22.26,"14,146",Samut Songkhram
สมุทรสงคราม,2023,9,ไทย,532.70,"383,095",Samut Songkhram
สมุทรสงคราม,2023,9,ต่างชาติ,18.36,"11,666",Samut Songkhram
สมุทรสงคราม,2023,10,ไทย,563.07,"450,143",Samut Songkhram
สมุทรสงคราม,2023,10,ต่างชาติ,11.48,"6,954",Samut Songkhram
สมุทรสงคราม,2023,11,ไทย,579.86,"463,562",Samut Songkhram
สมุทรสงคราม,2023,11,ต่างชาติ,12.57,"7,609",Samut Songkhram
สมุทรสงคราม,2023,12,ไทย,613.92,"490,802",Samut Songkhram
สมุทรสงคราม,2023,12,ต่างชาติ,15.64,"9,475",Samut Songkhram
สมุทรสาคร,2023,1,ไทย,154.31,"94,580",Samut Sakhon
สมุทรสาคร,2023,1,ต่างชาติ,2.25,"1,127",Samut Sakhon
สมุทรสาคร,2023,2,ไทย,134.52,"82,449",Samut Sakhon
สมุทรสาคร,2023,2,ต่างชาติ,3.14,"1,559",Samut Sakhon
สมุทรสาคร,2023,3,ไทย,133.37,"81,749",Samut Sakhon
สมุทรสาคร,2023,3,ต่างชาติ,3.10,"1,522",Samut Sakhon
สมุทรสาคร,2023,4,ไทย,170.49,"94,325",Samut Sakhon
สมุทรสาคร,2023,4,ต่างชาติ,3.20,"1,415",Samut Sakhon
สมุทรสาคร,2023,5,ไทย,182.90,"101,190",Samut Sakhon
สมุทรสาคร,2023,5,ต่างชาติ,2.26,998,Samut Sakhon
สมุทรสาคร,2023,6,ไทย,190.39,"105,321",Samut Sakhon
สมุทรสาคร,2023,6,ต่างชาติ,1.98,876,Samut Sakhon
สมุทรสาคร,2023,7,ไทย,192.36,"113,364",Samut Sakhon
สมุทรสาคร,2023,7,ต่างชาติ,1.63,771,Samut Sakhon
สมุทรสาคร,2023,8,ไทย,182.99,"107,842",Samut Sakhon
สมุทรสาคร,2023,8,ต่างชาติ,1.37,648,Samut Sakhon
สมุทรสาคร,2023,9,ไทย,167.19,"98,527",Samut Sakhon
สมุทรสาคร,2023,9,ต่างชาติ,1.55,734,Samut Sakhon
สมุทรสาคร,2023,10,ไทย,199.83,"110,666",Samut Sakhon
สมุทรสาคร,2023,10,ต่างชาติ,1.24,569,Samut Sakhon
สมุทรสาคร,2023,11,ไทย,210.39,"116,511",Samut Sakhon
สมุทรสาคร,2023,11,ต่างชาติ,1.50,691,Samut Sakhon
สมุทรสาคร,2023,12,ไทย,231.02,"127,942",Samut Sakhon
สมุทรสาคร,2023,12,ต่างชาติ,1.75,800,Samut Sakhon
ชัยนาท,2023,1,ไทย,106.75,"73,130",Chai Nat
ชัยนาท,2023,1,ต่างชาติ,0.90,583,Chai Nat
ชัยนาท,2023,2,ไทย,112.24,"76,892",Chai Nat
ชัยนาท,2023,2,ต่างชาติ,0.79,510,Chai Nat
ชัยนาท,2023,3,ไทย,107.82,"73,863",Chai Nat
ชัยนาท,2023,3,ต่างชาติ,0.85,556,Chai Nat
ชัยนาท,2023,4,ไทย,129.24,"82,120",Chai Nat
ชัยนาท,2023,4,ต่างชาติ,1.09,707,Chai Nat
ชัยนาท,2023,5,ไทย,132.07,"83,919",Chai Nat
ชัยนาท,2023,5,ต่างชาติ,0.93,603,Chai Nat
ชัยนาท,2023,6,ไทย,135.33,"85,980",Chai Nat
ชัยนาท,2023,6,ต่างชาติ,1.00,647,Chai Nat
ชัยนาท,2023,7,ไทย,160.79,"98,171",Chai Nat
ชัยนาท,2023,7,ต่างชาติ,0.98,578,Chai Nat
ชัยนาท,2023,8,ไทย,153.52,"93,732",Chai Nat
ชัยนาท,2023,8,ต่างชาติ,0.91,539,Chai Nat
ชัยนาท,2023,9,ไทย,147.52,"90,062",Chai Nat
ชัยนาท,2023,9,ต่างชาติ,1.05,614,Chai Nat
ชัยนาท,2023,10,ไทย,156.02,"95,636",Chai Nat
ชัยนาท,2023,10,ต่างชาติ,0.70,376,Chai Nat
ชัยนาท,2023,11,ไทย,163.43,"100,181",Chai Nat
ชัยนาท,2023,11,ต่างชาติ,0.80,431,Chai Nat
ชัยนาท,2023,12,ไทย,171.15,"104,908",Chai Nat
ชัยนาท,2023,12,ต่างชาติ,0.92,500,Chai Nat
นนทบุรี,2023,1,ไทย,476.35,"299,556",Nonthaburi
นนทบุรี,2023,1,ต่างชาติ,39.50,"15,448",Nonthaburi
นนทบุรี,2023,2,ไทย,411.12,"258,538",Nonthaburi
นนทบุรี,2023,2,ต่างชาติ,44.16,"17,272",Nonthaburi
นนทบุรี,2023,3,ไทย,457.85,"287,926",Nonthaburi
นนทบุรี,2023,3,ต่างชาติ,51.32,"20,074",Nonthaburi
นนทบุรี,2023,4,ไทย,453.91,"258,984",Nonthaburi
นนทบุรี,2023,4,ต่างชาติ,42.58,"18,410",Nonthaburi
นนทบุรี,2023,5,ไทย,492.39,"280,936",Nonthaburi
นนทบุรี,2023,5,ต่างชาติ,41.01,"17,731",Nonthaburi
นนทบุรี,2023,6,ไทย,513.56,"293,023",Nonthaburi
นนทบุรี,2023,6,ต่างชาติ,43.24,"18,694",Nonthaburi
นนทบุรี,2023,7,ไทย,511.61,"314,760",Nonthaburi
นนทบุรี,2023,7,ต่างชาติ,47.75,"16,977",Nonthaburi
นนทบุรี,2023,8,ไทย,519.67,"319,722",Nonthaburi
นนทบุรี,2023,8,ต่างชาติ,42.75,"15,200",Nonthaburi
นนทบุรี,2023,9,ไทย,480.76,"295,780",Nonthaburi
นนทบุรี,2023,9,ต่างชาติ,39.54,"14,059",Nonthaburi
นนทบุรี,2023,10,ไทย,466.70,"288,710",Nonthaburi
นนทบุรี,2023,10,ต่างชาติ,37.87,"15,716",Nonthaburi
นนทบุรี,2023,11,ไทย,479.81,"296,816",Nonthaburi
นนทบุรี,2023,11,ต่างชาติ,39.42,"16,360",Nonthaburi
นนทบุรี,2023,12,ไทย,511.69,"316,547",Nonthaburi
นนทบุรี,2023,12,ต่างชาติ,43.66,"18,121",Nonthaburi
ปทุมธานี,2023,1,ไทย,281.30,"192,477",Pathum Thani
ปทุมธานี,2023,1,ต่างชาติ,34.19,"18,552",Pathum Thani
ปทุมธานี,2023,2,ไทย,270.40,"185,020",Pathum Thani
ปทุมธานี,2023,2,ต่างชาติ,36.10,"19,583",Pathum Thani
ปทุมธานี,2023,3,ไทย,313.05,"214,217",Pathum Thani
ปทุมธานี,2023,3,ต่างชาติ,37.92,"20,573",Pathum Thani
ปทุมธานี,2023,4,ไทย,318.31,"209,379",Pathum Thani
ปทุมธานี,2023,4,ต่างชาติ,53.30,"22,823",Pathum Thani
ปทุมธานี,2023,5,ไทย,340.00,"223,647",Pathum Thani
ปทุมธานี,2023,5,ต่างชาติ,56.36,"24,134",Pathum Thani
ปทุมธานี,2023,6,ไทย,356.25,"234,354",Pathum Thani
ปทุมธานี,2023,6,ต่างชาติ,57.09,"24,438",Pathum Thani
ปทุมธานี,2023,7,ไทย,354.21,"236,938",Pathum Thani
ปทุมธานี,2023,7,ต่างชาติ,54.43,"27,012",Pathum Thani
ปทุมธานี,2023,8,ไทย,349.15,"233,554",Pathum Thani
ปทุมธานี,2023,8,ต่างชาติ,56.61,"28,096",Pathum Thani
ปทุมธานี,2023,9,ไทย,320.48,"214,372",Pathum Thani
ปทุมธานี,2023,9,ต่างชาติ,60.09,"29,825",Pathum Thani
ปทุมธานี,2023,10,ไทย,358.02,"225,657",Pathum Thani
ปทุมธานี,2023,10,ต่างชาติ,45.79,"21,219",Pathum Thani
ปทุมธานี,2023,11,ไทย,395.55,"249,309",Pathum Thani
ปทุมธานี,2023,11,ต่างชาติ,49.15,"22,774",Pathum Thani
ปทุมธานี,2023,12,ไทย,412.05,"259,705",Pathum Thani
ปทุมธานี,2023,12,ต่างชาติ,54.22,"25,123",Pathum Thani
พระนครศรีอยุธยา,2023,1,ไทย,"1,320.75","770,049",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,1,ต่างชาติ,245.07,"113,384",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,2,ไทย,"1,205.64","702,934",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,2,ต่างชาติ,240.07,"111,072",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,3,ไทย,"1,150.50","670,789",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,3,ต่างชาติ,263.54,"121,926",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,4,ไทย,"1,594.91","716,686",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,4,ต่างชาติ,311.43,"117,225",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,5,ไทย,"1,422.39","639,162",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,5,ต่างชาติ,316.45,"119,116",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,6,ไทย,"1,454.36","653,531",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,6,ต่างชาติ,341.26,"128,452",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,7,ไทย,"1,618.58","766,450",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,7,ต่างชาติ,314.01,"130,138",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,8,ไทย,"1,556.08","736,853",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,8,ต่างชาติ,338.64,"140,346",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,9,ไทย,"1,559.75","738,592",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,9,ต่างชาติ,268.90,"111,436",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,10,ไทย,"1,631.82","789,039",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,10,ต่างชาติ,234.29,"88,735",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,11,ไทย,"1,727.27","835,192",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,11,ต่างชาติ,270.15,"102,317",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,12,ไทย,"1,881.72","909,877",Phra Nakhon Si Ayutthaya
พระนครศรีอยุธยา,2023,12,ต่างชาติ,282.50,"106,994",Phra Nakhon Si Ayutthaya
ลพบุรี,2023,1,ไทย,591.10,"396,249",Lopburi
ลพบุรี,2023,1,ต่างชาติ,3.09,"1,808",Lopburi
ลพบุรี,2023,2,ไทย,504.73,"338,350",Lopburi
ลพบุรี,2023,2,ต่างชาติ,3.61,"2,112",Lopburi
ลพบุรี,2023,3,ไทย,460.33,"308,581",Lopburi
ลพบุรี,2023,3,ต่างชาติ,3.45,"2,019",Lopburi
ลพบุรี,2023,4,ไทย,579.96,"343,403",Lopburi
ลพบุรี,2023,4,ต่างชาติ,3.77,"1,568",Lopburi
ลพบุรี,2023,5,ไทย,541.73,"320,765",Lopburi
ลพบุรี,2023,5,ต่างชาติ,3.27,"1,362",Lopburi
ลพบุรี,2023,6,ไทย,560.06,"331,622",Lopburi
ลพบุรี,2023,6,ต่างชาติ,2.69,"1,127",Lopburi
ลพบุรี,2023,7,ไทย,523.35,"347,501",Lopburi
ลพบุรี,2023,7,ต่างชาติ,2.62,"1,161",Lopburi
ลพบุรี,2023,8,ไทย,507.94,"337,269",Lopburi
ลพบุรี,2023,8,ต่างชาติ,2.56,"1,133",Lopburi
ลพบุรี,2023,9,ไทย,494.17,"328,119",Lopburi
ลพบุรี,2023,9,ต่างชาติ,3.50,"1,539",Lopburi
ลพบุรี,2023,10,ไทย,551.06,"341,369",Lopburi
ลพบุรี,2023,10,ต่างชาติ,2.90,"1,331",Lopburi
ลพบุรี,2023,11,ไทย,591.50,"366,426",Lopburi
ลพบุรี,2023,11,ต่างชาติ,3.10,"1,422",Lopburi
ลพบุรี,2023,12,ไทย,632.59,"391,885",Lopburi
ลพบุรี,2023,12,ต่างชาติ,3.36,"1,545",Lopburi
สระบุรี,2023,1,ไทย,635.55,"374,705",Saraburi
สระบุรี,2023,1,ต่างชาติ,6.08,"3,418",Saraburi
สระบุรี,2023,2,ไทย,579.10,"341,427",Saraburi
สระบุรี,2023,2,ต่างชาติ,5.52,"3,103",Saraburi
สระบุรี,2023,3,ไทย,602.57,"355,257",Saraburi
สระบุรี,2023,3,ต่างชาติ,6.88,"3,852",Saraburi
สระบุรี,2023,4,ไทย,612.56,"349,637",Saraburi
สระบุรี,2023,4,ต่างชาติ,7.15,"3,771",Saraburi
